question,expected_answer,expected_source,should_answer,category,dataset_split,id
is an AI system that provides entertainment to children a prohibited AI practice?,"no, but with caution",article 5,yes,single,"[""base""]",23
is sex trafficking a prohibited AI practice?,no;  No. AI used for sex trafficking is not automatically a prohibited AI practice under the EU AI Act.,Article 5,yes,multi-hop,"[""base""]",24
What countries does the EU act cover?,NA,,no,out of scope,"[""base""]",25
How much fine will a AI system plotting terrrorism in Singapore get in EU?,NA,,no,out of scope,"[""base""]",26
Does R&D fall under a high risk AI system?,no,"Recital 24, recital 25, article 2",yes,multi-hop,"[""base""]",27
We are a company selling AI software for Children in Italy. What applies to us?,high risk system,"annex 3,",yes,multi-hop,"[""base""]",28
"If we use AI for biometric categorisation in a workplace, is it prohibited, high-risk, or neither — and what follows?","Yes, high risk","annex 3,",yes,multi-hop,"[""base""]",29
we are a company selling AI recruitment software across europe. What penalties must we pay for non-compliance ?,"hall be subject to administrative 
fines of up to EUR 35 000 000 or, if the offender is an undertaking, up to 7 % of its total worldwide annual turnover for the 
preceding financial year, whichever is higher ; .
Non-compliance with any of the following provisions related to operators or notified bodies, other than those laid 
down in Articles 5, shall be subject to administrative fines of up to EUR 15 000 000 or, if the offender is an undertaking, up 
to 3 % of its total worldwide annual turnover for the preceding financial year, whichever is higher:","Article 99, Annex 3",yes,"out of scope, multi-hop","[""base""]",30
what does article 97 talk about?,It is about how the EU AI Act itself can be updated over time without having to pass an entirely new law.,article 97,yes,single,"[""base""]",31
summarize article 112,"Article 112 explains when, what, and how often the Commission must review the Act to decide whether updates are needed.",article 112,yes,single,"[""base""]",32
summarize article 114,NA,,no,out of scope,"[""base""]",33
What did the European Parliament say in the 2027 amendment?,NA,,no,out of scope,"[""base""]",34
what is the information to be submitted for a high-risk system while real-world testing?,"The following information shall be provided and thereafter kept up to date with regard to testing in real world conditions to 
be registered in accordance with Article 60:
1.
2.
3.
4.
5.
A Union-wide unique single identification number of the testing in real world conditions;
The name and contact details of the provider or prospective provider and of the deployers involved in the testing in 
real world conditions;
A brief description of the AI system, its intended purpose, and other information necessary for the identification of 
the system;
A summary of the main characteristics of the plan for testing in real world conditions;
Information on the suspension or termination of the testing in real world conditions",annex 9,yes,single,"[""base""]",35
how does this act apply if we are a company providing Ai services to the US?,"If you are established in the Union and placing AI systems on the market or putting them into service in the Union, the Act applies to you ",article 2,yes,out of scope,"[""base""]",36
what does Annex 11 talk about?:,"Technical documentation referred to in Article 53(1), point (a) — technical documentation for 
providers of general-purpose AI models",annex 11,yes,single,"[""base""]",37
what article talks about classifying ai models as ones with systemic risk>?,article 51,Article 51,yes,single,"[""base""]",38
how many annexes do we have?,13,,yes,single,"[""base""]",39
what is this document dated as?,6/13/2024,preamble 0,yes,single,"[""base""]",40
I am a AI tool that evaluates students' answers during their exams. What kind of tool am I\?,high-risk,"Article 6, annex 3",yes,multi-hop,"[""base""]",41
